Timestamp,Character's name,"Character's race (human, elf, dwarf, etc)","Character's class (rogue, wizard, cleric, etc)",Character's backstory
9/18/2017 9:09:13,Aurelia,Humam,Rogue,"She was raised in a loving family. When she grew up, however, her family fell on hard times, and Aurelia decided to start pick-pocketing. After a year or so of this, her family's financial situation improved, but she still wanted to keep pick-pocketing. Eventually she fell in with some people who taught her the finer points of being a rogue, and she started adventuring full time."
9/17/2017 19:52:42,Pitung,Human,Rogue,Courtier
9/17/2017 22:47:13,Karnak,Human,Cleric,
9/18/2017 6:31:49,Caviar Bonswa,Human,Fighter,
9/18/2017 7:55:16,Henry Lodestone,Human,Cleric,
9/18/2017 9:18:48,elick emberharth,human,sorcerer,
9/18/2017 10:03:33,Virginia,Human,Rogue ,
9/18/2017 11:07:21,Oscar Cavalier,Human,Cleric,
9/18/2017 11:21:13,sulmon darkfell,human,wizard,
9/18/2017 13:04:24,Aurelius,Human,Warlock,Sage
9/18/2017 13:25:27,Rougsan Halfmoon,Human,Cleric,
9/18/2017 14:04:37,Leo Waterfall,Human,Fighter,Outlander
9/18/2017 14:52:10,Jada Keres,Human,Ranger,"Jada was a maid in the household of a local lord who abused, overtaxed, and generally oppressed the common people. He was known to take an ~interest~ in his female household staff, and he took an interest in late blooming Jada when she was 18. He essentially took advantage of her for 2 years, longer than any of his other victims. At 20, she took an interest in someone else. Two someone elses: a pair of siblings. The brother worked as a stablehand, the sister was a maid too, and Jada was pretty infatuated with the both of them, though she never acted on it. All the same, the lord took notice. Had them both quietly killed and showed Jada their bodies. That was the breaking point. She acted super docile and broken for the next week (which wasn't too difficult), all the while amping up rebellion among the rest of the household staff. Finally, one night, she goes to his room with the knife she uses to trim the candles. After, once he's asleep, she cuts his throat. There's some serious uproar, but because literally EVERYBODY hated this guy, including any of the guards who were recruited locally, there weren't too many subsequent casualties. She was hailed as the person who finally managed to kill the lord, and the community quickly rearranged itself into a less feudal structure. With the general population now even more protective of their hard won community, they established a sort of border defense. One old ranger recruited a bunch of young people, trained them, and stationed them at outposts along their borders. Jada was first in line. Now she lives at a ranger outpost, along with 2 others, protecting the border but also sometimes acting as a guide (and compulsively taking in wounded animals). One of those wounded animals became her companion: a panther who had taken some serious damage to his underbelly. She fixed him up, they bonded, and now he's her ride-or-die buddy. His name is Lysander."
9/18/2017 15:57:44,Samuel Greenvine,Human,Magus,
9/18/2017 16:03:28,Samuel Karanor,Human,Assasin,
9/18/2017 17:31:34,Emrys Stormcrow,Human,Wizard,
9/18/2017 17:42:25,Asren,Human,Wizard,
9/18/2017 19:23:41,Dax Hawkthorn,Human,Sorcerer,
9/18/2017 20:17:35,Cadel Brightleaf,Human,Bard,Entertainer
9/17/2017 18:23:51,Tim,human,fighter,disgraced bodyguard
9/18/2017 8:08:05,Killian Half-Heart,Human,Wizard,Cloistered Scholar
9/18/2017 9:04:30,Tim,Human,Sorcerer,Shop owner
9/18/2017 5:07:58,Chiffley,Human,Rogue,He sought adventure across the sea!
9/18/2017 15:05:05,Crimson Brimstone,Human,Wizard,Arch-enemy of a barbarian named Francis. 
9/18/2017 19:58:04,Emily,Human,Sorcerer,An escaped mind-slave of an illithid
9/17/2017 19:45:48,Alfred Lord Hudard,Human,Librarian,"Curator of all human knowledge, including everything forgotten. "
9/17/2017 21:36:30,Chaaran,Human,Bard,Ex-pirate whore currently adventuring to keep his twin from dying
9/18/2017 16:29:36,Wren McFlurry,Human,Rogue,"Her family were all bards. Sadly, Wren was tone deaf."
9/18/2017 20:17:36,Winston Burr,Human,Necromancer,He creates new adventurers to accompany him on his own adventures
9/18/2017 20:20:58,Martell,Human,Bard,Grew up in a brothel where his mother was the Madam
9/18/2017 7:58:48,Farthan Nologin,human,wizard,Trained in secret mind-control magic by the MRA. Searching for new girls.
9/18/2017 8:13:29,Tybalt of Dawnstar,Human,Monk,Sent on pilgrimage to contribute to the collective experience of the monastery
9/18/2017 9:37:10,Soren,Human,Fighter,Soren is a farm boy turned folk hero who isn't very bright.
9/18/2017 15:36:02,Garrick Garrickson,Human,Fighter,Noble who was cheated out of his family's fortress by his Uncle
9/18/2017 8:03:03,Eldar Stallhart,Human,Necromancer,"Trained by a cultist sect, upon abandoning the cult they killed his family "
9/18/2017 9:44:17,Eskey Bellringer,Human,Wizard,"After his former adventuring party died horribly, Eskey learned the value of teamwork."
9/18/2017 10:34:02,Lee Mainge,Human,Fighter,Disgraced knight who slaughtered his hometown's duke in a duel over a woman.
9/18/2017 9:42:24,Lily,Human,Sorcerer,Young widow who lost both children in accident related to her wizard husband's death.
9/18/2017 10:54:20,Buddy Brutus,Human,Fighter,"A divorced, deadbeat dad with no life skills.  Shoots first and axes questions later."
9/18/2017 12:02:56,Kyvian,Human,Monk,Got stranded in Kara-Tur and was taught martial arts before finding his way back.
9/18/2017 10:00:26,Ramala,Human,Wizard,"Alcoholic, cowardly, underachieving magic school dropout, 15 years older than her classmates. Loves awkward silence."
9/18/2017 7:48:26,Reyna Calder,Human,Fighter,A sharpshooting jock with a bow who travels the countryside in search of glory and acclaim.
9/17/2017 21:26:36,Anemos Asteri,Human,Swashbuckler,"A reformed thief trying to turn his life around as an entertainer, despite barely restrained kleptomaniacal tendencies."
9/18/2017 6:00:51,Otrivush Oto,Human,Wizard,Oto is an over weight sage forced to leave his monastery due to over indulgence in spirits.
9/18/2017 17:02:31,Dolph ir'Aeolus,Human,Artificer,"Middle son of noble family, pursuing advanced skill in the augmentation of weapons and tools with magic."
9/18/2017 5:32:15,Capriole,Human,Warlock,Angry teenager who sold his soul to the devil for the power to rescue his friends from danger.
9/18/2017 6:33:04,Derivin Blackstorm,Human,Sorceror,Criminal/Highwayman. Retreated to the wilderness after exploding some innocent townspeople (Wild Magic Surge - you know the drill)
9/18/2017 14:57:14,Arno ,Human,Fighter (Eldritch Knight),Former adventurer who lost his party against an evil wizard. Spend the last decades training to fight mages.
9/18/2017 17:07:19,Martin Salvator,Human,Sorcerer,Protected his town from a monster and then went off in search of ways to help more people
9/17/2017 18:39:36,Dungrym,Human,Ranger,"Abandoned, he was raised on the borderlands. He stalks Giant-kind in his cloak Twilight, wielding his long sword Eveningstar."
9/18/2017 2:02:45,Iron John,Human,Ranger,Iron John was disillusioned with castle life and so took to the wilds to champion good and fight evil.
9/18/2017 12:21:14,Jericho,Human,Necromancer,"Born with powers over death, Jericho strives to learn about his gift and use it for the betterment of others"
9/18/2017 7:52:01,Cardinal Sin,human,rogue,"The Moon Pope excommunicated me and stole my gender because my hat was bigger than his, and I'm out for revenge."
9/18/2017 12:23:31,Nico,Human,Blood Hunter,"Born and raised in the Shadowfell, death was a constant presence. Nico left to experience the gifts life has to offer."
9/18/2017 11:46:11,Thean,Human,Ranger,"His family was killed many years ago, but he recently learned his sister may have survived. He is currently searching for her whereabouts."
9/18/2017 5:36:49,Rhea,Human,Cleric,"Rhea is a chaotic good cleric. She met and enchanted (without him being aware) the lawful good warrior, Noggin.  Together, they conquered the dungeon."
9/18/2017 19:26:56,Clarence Darmer,Human,Assassin,Raised by a merchant family and apprenticed to the thieves guild. Clarence eventually learnt he was better at making thigns dead than unlocking them.
9/18/2017 15:22:10,Zaruun,Human,Sorcerer,With his wild magic he accidentally killed an agent of a barbarian tyrant. He fled the country and is now victim of an international manhunt
9/18/2017 12:37:35,Charles Dagamond ,Human,Sorcerer ,"After the horrendous slaughter of his father, Charles vowed to hunt down and destroy every last Paladin until he could guarantee the safety for his family.   "
9/18/2017 17:31:44,Rayenne,Human,Cleric,"She was the daughter of a kichen wench and a soldier, brought up in a church compound and taught soldering and healing from an early age."
9/18/2017 8:10:22,Thyra,Human,Fighter,"Outlander, growing up in the haunted forest, orphaned by werewolves. Moved to city, lived on the streets. Hired by the inquisitors of Thraben to stop a necromancer."
9/18/2017 11:00:01,Sanguineus,Human,Swordmage,"Formerly an ancient red dragon, he was cursed by a powerful wizard to be a handsome prince until he learns what it is to be a true hero."
9/18/2017 0:56:18,"Edwin ""Eddy"" Mirald",Human,Rogue,"Raised in the streets. Exposed to a font of dark magic which inscribed dark tattoos on his skin, allowing him to enhance his CQC and teleport (in lowlight conditions)."
9/18/2017 9:31:30,Bolo Ness,human,Sorcerer,"A sorcerer of humble beginnings; homeless as a child he started showing signs of magical aptitude, he was found by a mage and trained at the capital's mage academy. "
9/18/2017 9:35:36,Tera Shenigwym,Human,Ranger,"A young Ernest Hemingway-type, Tera is a writer, bookworm, adventurer, big game hunter and a bit of a lush. She specializes in two-weapon fighting and her favored enemy is animals. "
9/18/2017 11:20:23,Leliel,Human,Blood Mage,Disgraced illusionist who turned to blood magic to prove to his former mentor that he can and will surpass him and will become a God by manipulating life energy itself. 
9/18/2017 8:03:22,Singham Kirthain,Human,Wizard,"Singham comes from a family that includes several evil wizards, including his father. Singham is somewhat estranged from his family because he would like to be a not entirely evil wizard."
9/18/2017 13:50:56,Wilhelm,Human,Cleric,A milician who decided to serve the god of the forest against those who do it harm when he witnessed the forest near his hometown burned to the ground by orks.
9/18/2017 16:35:01,Darmot Kromwell,Human,Fighter,"Son of a corrupt merchant sets out with sword in hand to find his own way in the world and to perhaps, do some good.  As outlined in the following book.  https://www.amazon.com/dp/B008VO29DS"
9/18/2017 5:51:18,Faradan,Human,Wizard,"Faradan is a 17 year old human girl. 
She carries a quarterstaff and light armour. She emphatically does not wear a hat.
She is a skilled magic user.
I don't know much more about her."
9/18/2017 7:08:31,Fonix ,Human,Barbarian,"Found by the party hidden under a bed in one of the rooms of the mage tower of a mad wizard, with no memory other than an immense rage and fear for wizardry."
9/18/2017 11:01:58,Sister Sunflower,Human,Paladin,She became terrified of the undead during her time at the convent. Her chosen form of ministry is to slay their kind while studying the secrets of necromancy to better combat the threat.
9/18/2017 10:59:18,Harwin the Magnificent,Human,Wizard,"Formerly a clerk, Harwin used his retirement funds to study evil wizardry via a correspondence course. He's old, bitter, and intends to make everyone pay for the time he's spent being old and bitter. "
9/18/2017 11:03:38,The godpuncher,Human,Fighter,"He likes fighting and he likes a challenge. One day, he hopes to land a hit in a boxing match with a deity. Dress for the job you want, nit the one you have."
9/18/2017 11:05:30,Robert,Human,Expert,"Robert and his fiancee are saving up to buy an inn and tavern of their very own. To that end, he works as a hireling, accompanying adventurers and performing menial tasks for reasonable pay."
9/18/2017 8:12:35,Korvo Puffington ,Human,Fighter,"Abused as a child got in a fight with his dad and killed him, took up his magical sword and went on to fight in any wars to get paid for and do some bodyguard jobs. "
9/17/2017 21:41:48,Chen,Human,Oracle,"Marked by a cursed brand, an escaped slave must take down an infernal-led band of colonials and capitalists to save the continent from being taken by the powers of the abyss, and return power to his native people."
9/17/2017 21:59:23,Ilun,Human,Druid archer,"Ilun is a genderqueer nomad whose brother left their home many years ago. Rarely do people leave their tribe, and Ilun was very afraid to do it, but he wanted to know what had become of his brother. "
9/18/2017 8:45:31,Erin Samus,human,Warlock,"Orphaned at a young age and raised by Aarackoan Monks. The monks ascended to another plane, leaving Erin with their blessings. Now, she seeks revenge on those who orphaned her by using the boons of her adopted parents."
9/18/2017 10:28:43,Red Rowan,human,fighter,"An ex-guard, who became disillusioned with the law. Her job made her punish the poor and let the rich go free. One day she couldn't take the injustice any more and left to become a sword-for-hire, helping those in need."
9/18/2017 10:57:52,Heidi Seeder,Human,wizard,"Farmer - serflike upbringing, was taught to read by an elf that lived among them as the wise woman. Was placed in a household as a maid, but the resident magician noticed her skill and sent her packing to study under various masters."
9/18/2017 13:15:31,Cerigan Altisa,Human,Rogue,Grew up on the streets and had to learn to survive. Now is a thief who also fights to make sure no one is wronged around him. Only person he truly trusts is his wolf Nox who has been with him for years.
9/18/2017 10:10:45,Jerico,Human,Bard,"A traveling performer who uses a magically enhanced instrument to spread the joy of music. They left home at a young age in order to remove any financial burden from their family. One day they hope to return, especially to see their older sister. "
9/17/2017 19:15:43,Leopold,Human,Fighter,"The second son of a noble family, he was dispossessed after they took the losing side in a rebellion against a despotic king.  After his brother's death in battle, he inherited the title, but was forced to flee with a family servant under assumed names. "
9/17/2017 19:31:17,Kingston Vance,Human,Warlord Defender,"A private detective whose last job landed him with an experimental space ship and instructions to keep it hidden until contacted. It's been ten years and he's finally received the message. ""Come to my home planet. Bring the ship. I've been murdered. Found out why."""
9/17/2017 20:05:31,Knut Jansen,Human,Warrior,"Knut was born on an aviary. His parents raised bees to sell honey to a Mead making operation of some significance. Knut was Jan's 3rd son, so while he did learn the family business, he knew he would not inherit and struck out on his own.
"
9/18/2017 8:23:25,Flaming Helen,Human,Warmage,"After her only child died in a blaze, Helen, a seamstress, became obsessed with mastering the art of fire magic. She is fascinated by flames and they are always her first resort when faced by any problem. Monster? Burn it with fire. Cold? Set fire to a tree."
9/18/2017 9:39:01,Irena Grayhold,Human,Fighter,"Honorable daughter of Helvan Grayhold,  the commander who oversees Grayhold keep. Since her birth she has been groomed to succeed her father in his charge of keeping the invading horde from breaching the imperial states borders. A role that she has taken to with much pride and determination."
9/18/2017 9:34:16,Sterling Leith,Human,Warlock,"Sterling Leith made a deal with death. Well, somewhat. In order to achieve fame and fortune, she asked the Goddess of Death to grant her magical powers, but with great power comes great responsibility. She has to track and keep tabs on people who escaped death--EVEN her own party."
9/18/2017 9:50:12,Treylin Dracksbarr,Human,Fighter,"A low-ranking member of the royal family, Treylin went abroad to hone his skills as a soldier in order to protect his kingdom.  After many adventures, he came back home after a tragedy made his minor claim to the throne strong enough to be considered as a candidate for king."
9/18/2017 14:03:25,Galyian Iciria,Human,Wizard,"Last survivor of a world destroyed by the forces of Entropy.  Was sent to his new world as a child with an innate magical sense.  He grew up as an orphan on the run from those forces and along the way attracted the attention of war lords, sorceres, and gods.  "
9/17/2017 19:02:29,Alainna,Human,Rogue,"As a youth, was trained by the thieves' guild to steal aboard boats in the harbor to identify potential targets.  She was saved by a Sarenrite Pathfinder who brought her to the temple who later sent her to Absalom to join the Society, to spread the faith and to do good."
9/18/2017 16:07:16,Varos,Human,Fighter,"Varos was a soldier fighting in the borderlands between 2 kingdoms. The war was relatively small, but he was horrified by the disproportionate loss of life for ""a few acres of trees and rocks"". After he left military service, he decided to take up adventuring to fight for something good while he still had the strength."
9/18/2017 10:14:37,Wilhelm Moorbeer,Human,Fighter,"A man whos rude to people who lack his commitment to hardwork and fair play, his passion is painting but its not enough to support his wife and child on the way so he works as a lumberjack on the side. He's no hero, but he is a big softie and VERY excited to have a kid"
9/18/2017 9:37:31,Maggie,human,fighter,"Maggie used to work on the docks. Then the union went on strike, and she was down on her luck. Her girlfriend Gina supported them by working at a tavern, but the bosses wouldn't agree to the strike demands. Maggie led a rebellion against the dock bosses, but then had to flee the town for her own, and Gina's safety. "
9/18/2017 11:54:39,Ilun Lubog,Human,Warlock,"Ilun was the foremost scholar on Cthulhu and the definitive expert in the field, and soon further study led to him beginning to tap into the eldritch magics surrounding the Elder Gods. This began to drive him insane, and the more power he got, the more he became convinced that he was the mortal incarnation of the Great Cthulhu itself."
9/17/2017 18:18:56,Vivica,human,warlock,"Vivica is a sailor prone to obsession. She became involved in ocean worship many years ago, and more recently discovered her rituals could allow her to harness the power of deities beyond the imagination of most. Her tattoos shift on her skin sometimes. If she had friends they might know to read her emotions by them, but she does not have friends."
9/18/2017 7:49:39,Brune Norjondar,Human,Paliden,"Protector and admirer of beauty and nature, Brune roamed the world searching for great natural beauty. One day he saved a sylvan elf child from brutal goblins. The goddess of the forest recognized his act and empowered him with a connection with nature and the powers of a paliden. He then came upon a burning village and began his epic valiant journey."
9/18/2017 8:12:11,Reynolds,Human,Wizard,"Local ambitious politician, patriot. Uses whatever means necessary to protect Sparrow’s Point (securing power is a secondary goal). Ranks in use magic device, and access to several wands, sending stones, etc.
Has leverage over most of the city council, planning for the upcoming mayoral election (which is scheduled to be very soon) as the townsfolk almost always vote according to the council’s recommendation.
"
9/18/2017 20:17:53,Rai,human,fighter/artificer,Grew up in a rogue temple. Saw her older brother get swallowed by terrifying sentient shadows. Picked off the streets to go to an elite fighters guild; failed out of training as a teenager due to a general lack of caring. Became a bouncer out of boredom; fell in love with a rogue and followed him into a life of heist crime.
9/18/2017 8:38:58,Jien Li,Human,Monk,"Was part of militaristic feudal nation, bonded with his battalion of 5, went to Acheron to retrieve a powerful artifact for the nation, battalion and rest of army died / went mia, he deserted, he ran, now a hermit who has figured out what the powerful artifact is capable of and has reentered society in an attempt to keep it from mortal hands."
9/18/2017 10:23:22,Antje Gagnon,human,warlock,"Antje was originally a small-time fencer of stolen goods. Her life changed when she acquired an old lyre that had once belonged to the mad hunchback Duke Aubrey. Entranced by the Note she heard when she plucked it, she swore allegiance to the Duke, who had risen to become an archfey, in exchange for revelations of mysteries that would take her far from her previous life."
9/18/2017 14:46:02,Bridget ,human,cleric,"orphaned at a young age when goblins attacked her family's farmstead, she ended up in the whorehouse to make a living but eventually found a place in a convent. Blessed by her god and an urge to run towards danger rather than away, she was soon sent out into the world with her Superior's blessings to make her own way, rid the world of evil and discover wonders. "
9/17/2017 19:34:20,Edith Runekill,human,wizard,"Edith grew up in the stifling atmosphere of a small farming town in Plaguewrought Land. She dreamed of things bigger than a bleak future as a farm wife, so she went to college to study wizardry and archeology. Eventually, she became an adventurer, seeking to repatriate stolen artifacts, secure dangerous relics, and protection the material culture of all the peoples of Faeruûn.
She has a tiefling fiancé her parents do not approve of."
9/18/2017 5:39:53,Justin of Aragorn,Human,Ranger,"Justin was born in the Kingdom of Aragorn, a successor kingdom to a realm that arose after a cataclysmic battle with evil at the center of the continent. Along with his companions Ragnar and Phocas, they encountered and were cursed by an artifact to become involuntary worldwalkers. Now, together, sometimes separate, they wander various Prime Material Planes and beyond, seeking a way to return to their home, having adventures along the way."
9/17/2017 18:48:54,Kip Carol,Human,Druid,"Kip was about 8 when he found a strange skull in his yard.  He always liked skulls, features, little natural treasures.  When he lifted this skull, though, he unknowingly awakened a long-died diety/entity, who offered him the power to speak to and tend to the dead, in exchange for fulfilling the diety's wishes.  Kip replied, as you would expect an 8-year old boy to do:  ""Cool!""  And thus Kip became a death druid."
9/18/2017 1:08:37,Hizaza,Human,Rogue,"Essentially a third-rate thief for most of her life with a penchant for raiding dungeons and leaving unscathed, she met a rather large roadblock in her journey when she was affected by a Flesh to Stone spell from a trap.  She then spent hundreds of years, entirely conscious but unable to move, until some otherwise clueless people managed to figure out how to rescue her.  In thanks, she pledged her services to them."
9/18/2017 8:25:26,Arthur Lightfinger,Human,Necromancer,"Orphaned with his paladin twin brother at all young age, he took to the roads to earn a life performing cantrips for coin and passage. Upon arriving at his uncle Morty's tower, he and his twin parted ways as he learned the secrets of the arcane. Many years later, they reunited, protecting a town from a horde of savage raiders and in so doing, changed their opinion of necromancy and magic for the better."
9/18/2017 13:47:41,Ramson Foley,Human,Warlock,"Was training to be a wizard, when his greedy mentor opened a portal to the void.   A great being was visible through the portal. I dubbed it ""The Wanting Maw"" it came through the portal and swallowed my master. Upon my master's demise the portal closed but a giant tooth was left by the being, I grasped the Tooth and was instantly taken over with power, and the lust to gain more of it..."
9/18/2017 0:57:49,Saija,Human,Necromancer,"A woman who, after obtaining eternal life via strange and arcane methods, decided to afford herself a little extra protection by learning how to raise the dead.  Naturally this gave her quite a few enemies, and absolutely none of them were willing to show mercy to the kind of lady who had just committed such profane acts, so her worries were retroactively justified.  Travels the world with her thrall, who she pretends is her daughter, named Yorshka."
9/18/2017 14:23:38,Treylich,Human,Wizard,"Orphaned at a young age. Never new his parents. Was friends with a kid who aspired to be a knight at the orphanage. Later Adopted by a 20 year old court mage to be trained as his pupil. Always felt distant to his adopted parents, but is very grateful for all they did for him. Wants to train in magic in order to fulfill his adoptive fathers goals, and help out in return for being given a home."
9/17/2017 22:01:21,Edwin,Human,Wizard,"Old and forgotten, Edwin never went on any adventures because he was never ""ready."" His wife died recently, and though she told him to go on a goddamn adventure before he died, he has sat in his tower in a depressed haze, feeling that he is too old. Edwin missed his chance, but now, some adventurers have stumbled upon his doorstep. Edwin has nothing else to lose, and nothing else to live for, so now is the time. To adventure!"
9/18/2017 7:07:10,Kettel Cauldr,Human,Townsperson (NPC),"Kettel loves to cook and bake for friends and family and it shows despite her tiny frame. She lives with her companion of many years, a man who grows plants for their herbalist shop, though she has finally taken interest in a man for herself. Shy as she is and as most people assume she and her companion are together, it stayed quiet for a long time. After all, how often does one fall for the local blacksmith when he's half orc?"
9/17/2017 22:06:28,Ikia,Human,Rogue,"Ikia is a spy. She works as a banker's clerk but encodes secret messages into the ledgers, which are passed on to her handler in the capital city. She hates and fears him, but is totally devoted to him because he has her daughter captive. When the messenger carrying one of her ledgers was in a merchant caravan that was attacked, Ikia sets out after them with a party, but will not hesitate to betray them the moment her handler asks her to."
9/18/2017 8:29:57,Milan,Human,Paladin,"Acolyte who studied the beliefs, rituals, and history of a religion that disbanded when their ""Goddess of Strength, Frost, and the Moon"" was killed along with the destruction of this world's moon. Devoted herself to a small number of the Goddesses dictates only to discover she was growing an ability with frost magic. Believing this ""Kaoyr, Goddess of the Moon"" may still exist in some form and channeling divine magic through her, Milan devoted herself to knighthood and became a paladin of this fallen god."
9/18/2017 13:12:37,Suthra,Human,Paladin,"The sixth son of a noble family, Suthra was promised to the High Church and he joined its militant wing as fit his temperament. However his lessons took very well and while he was vested as a Paladin, he refused to swear to uphold the state for it did not always uphold divine law. As a result, he was exiled for fear that others would realize there was no divine punishment upon him for his refusal to uphold the lie of high priest and noble alike."
9/17/2017 19:23:47,Martin Cooper,human,wizard,"Martin grew up in a rural family and, after showing promise as a wizard, was sponsored to attend Iradin University. There he studied both magic and ecological anthropology, in the course of which he did field expeditions with tribes of phanatons, centaurs, and gnomes in the Grey Ridge region. He then answered a call for adventurers of good character to serve as envoys from a court of the Elven Holy Corellon Federation to a local tribe of kobolds that had been converted to the worship of Bahamut."
9/18/2017 0:53:58,Itellia,Human,Alchemist,"A woman who was thoroughly ejected from virtually all forms of ""proper"" magical academia for her strange and outlandish theories.  You see, she believed that the common slime had magical properties far beyond every other race, and secretly held the secret to eternal life.  Seeing as nobody wanted to deal with this crazy woman shouting about it, they kicked her out and exiled her as an unapproved witch.  So she went to the swamps at the edge of civilization and continued to poke at slimes with sticks."
9/18/2017 9:59:20,Nomyn Dreth,Human,Rouge,"As a the second son of the king, Nomyn Dreth grew up never expecting the throne.  Instead, he joined the army, and led an elite special forces unit.  That changed when his older brother was killed under suspicious circumstances, and he was framed for the deed.  His father, unwilling to kill his only remaining son, instead exiled him from the land.  He now wanders as an adventurer, attempting to gain coin and status such that he might one day return to his home, and claim his birthright."
9/17/2017 20:59:07,Hagar Bombillion,Human,Warrior,"Hygar's life as a motley warrior was shaped at an early age when his village was attacked by goblins, murdering most and enslaving the few survivors. He spent his adolescence in the company of rogues, grifters and scum of all kinds. He took the last name of the crooked wizard who led the attacks that took his family from him. When he survived the Pits of Hwagh at fifteen, he murdered his nemesis and made it his life's goal to snuff out evil and exploitation in all its forms."
9/18/2017 10:00:05,Muzg Shon,Human,Rogue,"Muzg Shon was the third son of the famous merchant/banker Aten Shon.  Famous because he could get anyone and everyone to pay up (catchphrase: everyone eventually pays Aten Shon). His brothers adopted a likewise forceful personality. With such overwhelming personalities around him, he became retiring and quiet, and eventually studied the ways of the shadow dancers. He has struck out into the world to make his fortune, enough to command the attention and respect of his father and older brothers. He hides as a matter of practice and reflex."
9/18/2017 15:40:28,Uric of the Red Sands,Human,Barbarian,"Uric was a member of the Red Sands tribe. While accompanying a trade caravaan to the city, Uric was attacked by bandits. They stole the trade goods, and Uric set off to retrieve them. Once he tracked them down to a nearby port, Uric dealt justice to them befitting his tribe. Once he did so, he was arrested by the town guards and put in jail. Due to him killing bandits, Uric was given leniency and allowed freedom in return for becoming a bounty hunter a la Suicide Squad."
9/17/2017 18:49:08,Pumpkin,human,monk,"Pumpkin was a child of poor goatherds. Unable to support her, her parents turned her over to the martial arts masters at a secluded monastery to be raised. After she reached adulthood, one of her instructors stole a sacred kung fu manual from the monastery's library, then fled, intending to sell it to some evil power. The abbot of the monastery has charged Pumpkin to go out into the world and recover the sacred manual. To do so, she must find her old teacher and defeat him in single combat."
9/18/2017 9:17:55,Theresia,Human,Paladin,"Theresia was raised by nuns in a convent orphanage. She became a fierce believer, and when she was old enough, she joined the same convent as a novice. As a nun, she worked in the same orphanage where she grew up -- until it was attacked by cultists and, in the defense of her charges, she took up arms and felt the power of Lothian flow through her. After that night (and some long conversations with her mother superior), she left the convent and entered Lothian's service as a paladin."
9/18/2017 20:37:24,Akedia Megido,Human,Rogue,"Akedia was born to a pair of archaeologists and tomb raiders, and spent more time in dungeons than above-ground. Although his mother was killed shortly after he was born by a spiteful ex-lover, her ghost stuck around to help raise him and from this he's gained a knack for sensing and communicating with the undead. Eventually, he took his mother's whip and his father's legendary hot pants and struck out on his own to discover and plunder a lost ruin of his own, as is tradition in the Megido family."
9/18/2017 8:36:30,Jin,Human,Warlock,"Diplomatic mission from Kara-Tur passed through his village, one of the diplomats, master of an ancient magical-martial art, noticed the potential dwelling within a young boy of that village. He split off from the diplomats to stay and tutor the boy. A few years later, well-versed in the arts and philosophy of the Path of the Blade, the now-a-young-man swore an oath, becoming a hexblade. To signify the change in his life, he abandoned his old name and his master, just before returning to Kara-Tur, bestowed upon him a new one: Jin."
9/18/2017 12:38:40,Jinkies,Human,fighter,"My family is no stranger to wealth, power, and privilege. In the glory days of Neverwinter, my parents were the count and countess of Corlinn Hill, a large estate located in the hills northeast of the city. But Mount Hotenow erupted thirty years ago, devastating Neverwinter and erasing Corlinn Hill from the map. Instead of growing up on an estate, I was raised in a small but comfortable town house in Waterdeep. As an adult, I stand to inherit a meaningless title and little else. My personal goal is to civilise Phandelen."
9/18/2017 9:43:39,Regan Hart,Human,Bard,"Regan Hart is the world's most beloved travelling entertainer. Her band, Regan Hart and the Moonlighters, tour the realms, bringing joy and a good song to everyone they meet. But Regan has.... other motives. You see, Regan is a kleptomaniac, and can never resist a good steal. It turns out entertaining is a really easy way to take shit from people, and the better she is at music, the better gigs she gets, the better stuff she gets to steal. So she continues on her merry way, taking everything her gay little hands can carry."
9/18/2017 6:48:43,Lihrah,human,sorcerer ,"Lihrah was born a noble Illuskan to the far north-west of the world however has lived as a hermit for the past 7 years of her life. She does not talk of her past to anyone. Her parents wished to harness the power of The Gold Dragon Aurunvost which Lihrah fought against, eventually freeing the dragon herself and in return was granted its power. She abandoned her position as a noble and fled to the wilderness where she learnt more about her powers and how to fend for herself. She studies dragons to understand her power further. "
9/18/2017 8:13:09,Basha,Human,Rogue (Arcane Trickster),"Raised as a traveling merchant of Potions, notions, and other wares Basha is an excellent salesman. He could sell Ice to a frost giant. He was renouined among the family for enchanting small trinkets with illusionary traits and selling them a magical. They would work a town for a few weeks and then wonder off to the next village. This worked well until while hunting for new wares before ditching town, he was captured by slave traders from the underdark. He managed to get free of his shackles, but leaving the Underdark has been a daunting task.  "
9/18/2017 10:08:06,Li Shimada,Human,"Monk, Way of the open hand","He lives life as pious as he can. He lived in the monastery Seigi no Shudoin from the time he was about two until he left to aid the people of the world by teaching them his skills. He wears the blindfold he was given when he entered the monastery to test his resolve. His harsh sense of justice gets him into unfortunate situations, but he always manages to hit his way out with his quarterstaff. Above all, Li is loyal. If his friend should fall in battle, he won't rest until justice has been delivered with an iron hand"
9/18/2017 9:41:53,Sally,Human,Wizard,"A poor, but beautiful gymnast, Sally married a rich man with the intent of being a trophy wife. As the reality of being a rich woman sank in, Sally decided to alleviate her boredom by learning magick. Soon the temptation to become a necromancer took hold. After accidentally killing a local farmers with a spell, Sally realized that her boredom could only be lessened through killing. Killing randomly seemed stupid though, so she figured she'd just join up with some adventurers, because those folks always seem to be finding themselves in situations where killing was the only option. Also, this chick totally fucks."
